x1,x2,x3,x4,x5,x6,x7,m
0.581,0.569,-7.978,0.43,0.0248,0.373,0.726,a
0.565,0.905,-4.396,0.149,0.108,0.377,0.789,d
0.719,0.936,-3.343,0.0712,0.00515,0.0723,0.294,e
0.599,0.423,-7.075,0.0914,0.208,0.0773,0.893,d
0.655,0.486,-16.934,0.0337,0.00793,0.129,0.449,b
0.659,0.792,-7.101,0.0301,0.0186,0.102,0.466,b
0.533,0.388,-10.334,0.104,0.575,0.248,0.919,d
0.77,0.612,-7.755,0.086,0.0789,0.153,0.63,c
0.666,0.584,-5.259,0.124,0.219,0.111,0.707,b
0.829,0.949,-1.236,0.276,0.249,0.278,0.627,c
0.721,0.822,-4.843,0.0391,0.0113,0.0898,0.536,f
0.576,0.977,-3.106,0.0392,4.52e-4,0.163,0.235,e
0.624,0.721,-3.778,0.429,0.211,0.0874,0.662,a
0.694,0.594,-5.257,0.0357,0.0992,0.176,0.603,c
0.655,0.825,-4.891,0.0383,0.0779,0.137,0.579,b
0.493,0.841,-5.131,0.0399,0.00187,0.079,0.14,f
0.604,0.549,-5.554,0.248,0.0684,0.356,0.444,b
0.595,0.772,-8.033,0.0367,0.126,0.221,0.345,b
0.492,0.933,-6.568,0.12,0.194,0.1,0.27,b
0.739,0.733,-3.933,0.0818,0.703,0.117,0.389,a
0.701,0.663,-7.227,0.202,0.0123,0.131,0.334,d
0.538,0.432,-11.882,0.0295,1.85e-4,0.139,0.116,f
0.681,0.484,-9.978,0.0563,0.641,0.115,0.646,b
0.503,0.735,-4.182,0.333,0.0197,0.102,0.694,a
0.747,0.446,-12.188,0.0377,0.0915,0.0862,0.525,c
0.661,0.642,-7.315,0.0295,0.0675,0.148,0.353,c
0.855,0.793,-3.163,0.123,0.351,0.115,0.52,c
0.687,0.665,-8.493,0.0445,0.00797,0.126,0.103,e
0.605,0.69,-11.003,0.0295,0.198,0.291,0.694,b
0.436,0.858,-4.069,0.104,0.0554,0.173,0.502,e
0.48,0.825,-2.549,0.0582,0.0645,0.263,0.369,b
0.514,0.289,-12.24,0.034,0.823,0.185,0.365,c
0.857,0.621,-6.376,0.0824,0.148,0.0865,0.668,c
0.895,0.792,-5.923,0.0769,0.0386,0.0547,0.941,c
0.535,0.384,-10.049,0.362,0.89,0.0964,0.767,c
0.576,0.859,-8.22,0.034,0.0126,0.341,0.711,f
0.807,0.794,-5.618,0.275,0.00586,0.207,0.966,d
0.873,0.719,-5.948,0.248,0.03,0.333,0.858,a
0.894,0.511,-4.768,0.42,0.0251,0.14,0.568,a
0.777,0.812,-5.146,0.0447,0.26,0.185,0.452,a
0.651,0.908,-2.894,0.0604,0.335,0.0624,0.701,e
0.832,0.628,-7.107,0.0975,0.00125,0.0806,0.817,c
0.634,0.598,-10.415,0.0962,0.0997,0.298,0.729,d
0.817,0.523,-10.134,0.0441,0.166,0.216,0.428,a
0.511,0.917,-4.654,0.0826,1.36e-4,0.27,0.177,f
0.508,0.967,-3.529,0.0896,0.00333,0.0856,0.452,e
0.638,0.818,-4.517,0.05,0.131,0.107,0.489,c
0.694,0.483,-7.157,0.0359,1.96e-4,0.134,0.132,c
0.673,0.943,-3.604,0.0481,0.0448,0.101,0.0358,b
0.482,0.781,-5.334,0.412,0.629,0.413,0.336,a
0.909,0.392,-6.221,0.0652,0.278,0.106,0.61,b
0.68,0.897,-5.068,0.0836,0.00382,0.0817,0.118,e
0.779,0.708,-12.509,0.056,0.0147,0.581,0.839,c
0.502,0.938,-5.96,0.0442,0.00314,0.249,0.412,b
0.837,0.43,-11.284,0.322,0.623,0.1,0.721,a
0.744,0.835,-3.356,0.156,0.0434,0.0911,0.736,a
0.748,0.711,-5.994,0.358,0.179,0.387,0.137,d
0.722,0.382,-15.275,0.682,0.689,0.0639,0.541,a
0.53,0.979,-2.092,0.0368,0.0231,0.0797,0.845,f
0.806,0.933,-1.152,0.0376,0.409,0.871,0.916,e
0.43,0.537,-12.202,0.0948,0.928,0.084,0.113,b
0.792,0.612,-5.212,0.0693,0.0805,0.0852,0.42,d
0.664,0.831,-4.472,0.0435,0.111,0.0596,0.696,d
0.338,0.34,-12.049,0.0339,0.58,0.116,0.197,f
0.568,0.767,-3.634,0.0461,0.0919,0.3,0.275,e
0.648,0.713,-4.696,0.855,0.184,0.145,0.627,a
0.745,0.34,-15.917,0.0421,0.0207,0.147,0.675,d
0.373,0.63,-5.131,0.0461,0.0552,0.107,0.352,b
0.848,0.552,-10.702,0.137,0.123,0.0503,0.841,d
0.505,0.659,-6.895,0.0315,0.0518,0.268,0.596,f
0.707,0.716,-6.939,0.0277,0.109,0.059,0.597,b
0.638,0.832,-5.039,0.049,0.141,0.113,0.648,e
0.873,0.8,-5.775,0.364,0.594,0.089,0.692,a
0.632,0.299,-12.242,0.0347,0.1,0.289,0.179,d
0.769,0.787,-3.909,0.367,0.189,0.129,0.836,a
0.497,0.693,-7.024,0.0565,0.19,0.215,0.358,f
0.599,0.857,-5.7,0.299,0.0321,0.4,0.469,a
0.355,0.852,-3.966,0.0632,0.0134,0.0774,0.173,e
0.751,0.48,-5.557,0.035,0.208,0.0895,0.601,f
0.7,0.538,-5.952,0.045,2.04e-4,0.105,0.189,d
0.778,0.793,-4.013,0.0482,0.0936,0.0508,0.888,c
0.705,0.769,-5.526,0.0426,0.112,0.105,0.59,b
0.545,0.714,-8.952,0.0397,2.06e-4,0.375,0.56,f
0.582,0.748,-5.93,0.0521,0.432,0.0707,0.433,f
0.436,0.691,-5.366,0.107,0.0943,0.547,0.4,e
0.67,0.668,-4.306,0.0422,0.536,0.133,0.608,d
0.493,0.761,-4.296,0.381,0.124,0.101,0.455,a
0.568,0.914,-3.655,0.0529,0.00297,0.223,0.479,e
0.661,0.815,-5.407,0.0497,0.106,0.0863,0.702,d
0.317,0.902,-9.366,0.0707,0.011,0.331,0.406,f
0.694,0.842,-4.91,0.0624,0.147,0.261,0.753,c
0.708,0.795,-4.71,0.116,0.0339,0.362,0.731,c
0.637,0.935,-3.909,0.0486,0.00198,0.18,0.428,e
0.528,0.258,-10.238,0.0394,0.653,0.0882,0.121,d
0.556,0.703,-10.164,0.0841,0.00503,0.106,0.0394,e
0.705,0.651,-5.794,0.0765,0.079,0.113,0.569,a
0.713,0.798,-3.147,0.219,0.366,0.246,0.721,a
0.601,0.532,-9.119,0.0286,0.432,0.0925,0.341,f
0.605,0.867,-4.993,0.0447,0.0102,0.861,0.296,e
0.682,0.948,-4.047,0.0308,0.0721,0.0589,0.634,b
0.793,0.868,-4.001,0.173,0.0304,0.085,0.85,e
0.655,0.809,-3.678,0.0334,0.0426,0.286,0.272,e
0.654,0.506,-17.18,0.0535,0.686,0.155,0.831,f
0.758,0.914,-2.699,0.084,0.737,0.0749,0.962,c
0.409,0.92,-5.439,0.12,0.00719,0.0823,0.37,f
0.632,0.845,-6.336,0.0333,7.73e-4,0.0618,0.433,f
0.71,0.312,-6.918,0.0325,0.391,0.0682,0.535,d
0.478,0.977,-3.162,0.0751,0.00473,0.509,0.482,f
0.541,0.847,-6.52,0.0297,0.303,0.109,0.62,b
0.793,0.726,-5.42,0.068,0.0102,0.755,0.578,d
0.77,0.599,-4.579,0.159,0.36,0.238,0.858,c
0.661,0.515,-9.39,0.0806,0.166,0.125,0.727,b
0.672,0.776,-6.269,0.0649,0.0494,0.0885,0.519,e
0.607,0.795,-5.137,0.0496,0.0986,0.059,0.815,b
0.691,0.868,-3.807,0.0735,0.016,0.0605,0.512,e
0.526,0.936,-4.576,0.263,0.316,0.261,0.283,d
0.676,0.5,-9.583,0.0563,0.0359,0.127,0.171,a
0.597,0.86,-2.315,0.0461,0.196,0.0873,0.818,c
0.532,0.783,-5.697,0.0523,0.0038,0.161,0.643,b
0.757,0.824,-2.657,0.134,0.0859,0.165,0.495,c
0.701,0.83,-4.843,0.0329,0.107,0.652,0.881,b
0.662,0.691,-7.275,0.0415,0.0722,0.0666,0.292,b
0.824,0.614,-7.277,0.261,0.134,0.0565,0.473,c
0.469,0.968,-1.899,0.281,0.0107,0.222,0.396,e
0.63,0.37,-16.921,0.0642,0.721,0.203,0.158,b
0.443,0.727,-7.951,0.145,0.263,0.169,0.566,f
0.295,0.536,-9.985,0.0404,0.0838,0.0761,0.204,f
0.582,0.658,-8.124,0.241,0.147,0.254,0.654,d
0.763,0.791,-11.246,0.0357,0.0102,0.271,0.603,b
0.723,0.914,-9.359,0.0801,0.00608,0.104,0.663,e
0.819,0.677,-6.023,0.268,0.575,0.159,0.765,c
0.412,0.473,-10.964,0.037,0.383,0.541,0.676,f
0.791,0.619,-5.886,0.0532,0.00784,0.351,0.371,c
0.438,0.966,-6.103,0.0445,4.42e-4,0.691,0.713,f
0.883,0.458,-6.801,0.0411,0.0401,0.0603,0.816,d
0.451,0.918,-3.414,0.0329,0.00178,0.688,0.695,f
0.791,0.744,-10.24,0.18,0.201,0.0774,0.17,e
0.796,0.765,-6.311,0.0746,0.00891,0.0568,0.724,d
0.768,0.856,-4.989,0.0445,0.014,0.114,0.234,c
0.587,0.994,-5.61,0.045,0.155,0.0319,0.481,f
0.72,0.802,-5.799,0.0672,0.0319,0.0625,0.661,b
0.802,0.785,-4.781,0.207,0.14,0.123,0.435,a
0.897,0.662,-6.903,0.292,0.0852,0.534,0.389,a
0.721,0.827,-5.127,0.0536,0.335,0.311,0.951,a
0.829,0.826,-7.952,0.161,0.3,0.0825,0.925,a
0.219,0.952,-3.621,0.176,5.1e-5,0.157,0.172,f
0.819,0.292,-15.114,0.49,0.0269,0.361,0.516,a
0.463,0.726,-5.126,0.03,0.0589,0.0861,0.473,b
0.713,0.845,-5.21,0.0511,0.044,0.373,0.119,e
0.736,0.369,-9.682,0.0688,0.334,0.126,0.235,d
0.846,0.721,-8.582,0.178,0.0693,0.254,0.252,c
0.721,0.899,-4.07,0.057,0.0116,0.126,0.0385,a
0.391,0.988,-3.715,0.0905,9.45e-5,0.251,0.562,f
0.788,0.569,-5.159,0.106,0.21,0.109,0.858,c
0.755,0.496,-7.412,0.0787,0.197,0.338,0.718,b
0.499,0.847,-4.803,0.116,0.0112,0.486,0.257,e
0.573,0.512,-9.696,0.0415,0.29,0.102,0.278,a
0.514,0.646,-8.833,0.275,0.197,0.0958,0.297,c
0.741,0.559,-7.775,0.03,0.00728,0.21,0.466,d
0.762,0.748,-4.15,0.033,0.0266,0.348,0.851,b
0.426,0.959,-4.95,0.0525,5.36e-5,0.707,0.372,f
0.519,0.886,-4.545,0.0504,0.032,0.102,0.293,e
0.652,0.464,-5.928,0.0872,0.443,0.0919,0.526,a
0.88,0.57,-13.145,0.0821,0.292,0.0674,0.791,d
0.584,0.698,-3.961,0.106,0.09,0.171,0.765,a
0.73,0.849,-7.247,0.124,0.101,0.359,0.694,d
0.721,0.766,-6.767,0.0408,0.00165,0.0994,0.658,c
0.727,0.83,-5.835,0.286,0.478,0.251,0.894,a
0.576,0.561,-14.122,0.0423,0.122,0.0531,0.908,d
0.714,0.93,-7.434,0.0519,0.00243,0.678,0.0767,e
0.753,0.457,-7.709,0.0767,0.00679,0.311,0.297,f
0.783,0.537,-2.921,0.0795,0.278,0.229,0.393,a
0.66,0.625,-7.123,0.0689,0.114,0.172,0.283,d
0.728,0.846,-6.102,0.407,0.102,0.233,0.702,a
0.573,0.913,-4.793,0.132,0.0591,0.156,0.422,f
0.879,0.688,-10.108,0.163,0.0488,0.089,0.159,e
0.549,0.882,-4.911,0.0505,0.0825,0.372,0.645,b
0.394,0.533,-12.6,0.0687,0.0893,0.234,0.563,f
0.637,0.771,-4.616,0.0417,1e-4,0.563,0.0383,e
0.779,0.728,-2.586,0.187,0.0191,0.266,0.824,c
0.54,0.552,-7.702,0.031,0.0494,0.332,0.456,b
0.441,0.608,-2.979,0.0344,0.00923,0.145,0.209,f
0.819,0.679,-3.399,0.25,0.119,0.364,0.501,a
0.398,0.726,-4.048,0.0417,0.131,0.251,0.427,b
0.645,0.832,-5.595,0.0294,0.00106,0.199,0.375,e
0.703,0.803,-4.647,0.0251,0.346,0.437,0.695,b
0.58,0.916,-4.358,0.0387,2.97e-4,0.126,0.683,f
0.641,0.539,-6.351,0.0463,0.346,0.0837,0.436,d
0.897,0.743,-5.446,0.222,0.304,0.137,0.905,a
0.708,0.354,-12.075,0.0675,0.319,0.0744,0.239,c
0.458,0.696,-4.742,0.0402,0.285,0.123,0.418,e
0.585,0.685,-6.49,0.0502,0.388,0.11,0.46,b
0.3,0.36,-9.111,0.0319,0.455,0.194,0.145,b
0.612,0.657,-7.577,0.187,0.0788,0.24,0.149,c
0.721,0.621,-4.378,0.306,0.00469,0.199,0.568,a
0.685,0.631,-9.351,0.0945,0.297,0.182,0.281,b
0.776,0.717,-4.01,0.0719,6.56e-4,0.0573,0.273,e
0.506,0.899,-6.299,0.393,0.00962,0.379,0.517,a
0.533,0.5,-8.273,0.0481,0.772,0.112,0.14,b
0.741,0.842,-7.533,0.0475,0.333,0.193,0.86,d
0.592,0.909,-6.288,0.055,7.26e-4,0.085,0.517,f
0.701,0.789,-13.367,0.0599,0.0219,0.275,0.394,c
0.504,0.87,-4.828,0.0449,0.0164,0.125,0.276,e
0.622,0.664,-7.884,0.0407,0.379,0.261,0.447,a
0.834,0.536,-7.455,0.117,0.546,0.0646,0.962,d
0.669,0.8,-5.609,0.117,0.358,0.241,0.179,e
0.591,0.585,-6.35,0.0277,0.143,0.109,0.324,b
0.478,0.655,-10.19,0.142,0.715,0.11,0.0962,a
0.754,0.434,-8.458,0.135,0.0746,0.104,0.278,e
0.854,0.556,-4.49,0.14,0.345,0.165,0.342,a
0.678,0.747,-5.289,0.165,0.0395,0.174,0.516,b
0.558,0.412,-15.819,0.0608,0.443,0.17,0.617,f
0.846,0.807,-2.329,0.105,0.00914,0.0779,0.442,c
0.762,0.821,-4.17,0.0389,0.205,0.259,0.769,b
0.858,0.656,-4.96,0.358,0.114,0.141,0.969,c
0.743,0.709,-3.922,0.0879,0.0451,0.0809,0.831,c
0.851,0.556,-5.673,0.0479,0.415,0.0983,0.272,a
0.398,0.846,-4.217,0.0441,4.69e-4,0.172,0.411,f
0.854,0.78,-5.528,0.108,0.132,0.189,0.848,c
0.704,0.486,-9.247,0.0564,0.421,0.28,0.491,b
0.691,0.626,-4.588,0.172,0.115,0.0886,0.538,d
0.615,0.501,-9.76,0.0882,0.667,0.111,0.362,a
0.789,0.518,-5.417,0.0406,0.398,0.0891,0.78,c
0.394,0.944,-8.082,0.181,0.0906,0.473,0.616,b
0.593,0.451,-9.166,0.0367,0.836,0.0813,0.589,d
0.673,0.596,-7.891,0.0354,0.166,0.11,0.19,c
0.711,0.595,-12.99,0.036,0.0484,0.208,0.836,d
0.709,0.557,-12.285,0.0292,0.476,0.132,0.804,d
0.694,0.738,-5.02,0.115,0.00523,0.0865,0.485,e
0.546,0.832,-2.679,0.0247,3.16e-4,0.177,0.633,f
0.8,0.827,-2.534,0.224,0.0405,0.113,0.719,a
0.633,0.931,-7.752,0.0686,0.0504,0.375,0.676,d
0.939,0.316,-9.111,0.246,0.00356,0.0929,0.904,d
0.431,0.956,-12.742,0.0339,0.00215,0.122,0.227,f
0.728,0.708,-14.01,0.0532,0.0518,0.147,0.964,f
0.592,0.701,-5.879,0.0292,0.276,0.0882,0.509,b
0.575,0.46,-6.839,0.182,0.0988,0.227,0.462,c
0.323,0.879,-7.257,0.114,0.00305,0.1,0.522,f
0.381,0.539,-6.761,0.0375,2.5e-5,0.125,0.499,a
0.625,0.713,-5.609,0.0353,0.0213,0.175,0.128,e
0.536,0.72,-11.277,0.0436,0.00202,0.357,0.633,f
0.802,0.463,-10.604,0.184,0.328,0.0545,0.853,a
0.478,0.722,-3.353,0.398,0.0982,0.366,0.705,c
0.464,0.586,-8.453,0.0291,0.178,0.14,0.237,b
0.392,0.37,-10.888,0.0298,0.205,0.0821,0.512,d
0.542,0.49,-7.455,0.0276,0.363,0.108,0.24,b
0.213,0.634,-12.967,0.0596,0.369,0.359,0.354,f
0.472,0.833,-4.486,0.162,0.297,0.056,0.413,b
0.832,0.851,-5.938,0.0631,0.0781,0.263,0.347,c
0.632,0.956,-1.512,0.293,0.00242,0.634,0.189,a
0.511,0.678,-6.858,0.869,0.241,0.0948,0.405,b
0.538,0.721,-5.974,0.0342,0.19,0.0723,0.339,f
0.713,0.909,-4.274,0.0306,0.00303,0.699,0.438,e
0.402,0.76,-5.332,0.0344,0.148,0.128,0.714,f
0.538,0.63,-10.699,0.0307,0.175,0.0559,0.57,b
0.744,0.813,-7.401,0.154,5.14e-4,0.0685,0.149,a
0.701,0.607,-6.723,0.264,0.04,0.353,0.544,a
0.394,0.821,-4.304,0.0404,0.00302,0.186,0.509,b
0.715,0.46,-10.276,0.132,0.363,0.258,0.554,e
0.68,0.825,-5.578,0.03,0.0141,0.11,0.0863,c
0.756,0.572,-7.019,0.0763,0.0478,0.0853,0.417,d
0.712,0.772,-3.024,0.346,0.0521,0.0368,0.848,a
0.465,0.911,-5.284,0.405,0.0802,0.776,0.672,d
0.612,0.845,-5.565,0.0352,0.00224,0.582,0.769,f
0.728,0.858,-4.523,0.107,0.00149,0.0759,0.553,e
0.667,0.895,-3.885,0.111,0.00377,0.346,0.568,e
0.782,0.731,-4.581,0.143,0.0376,0.0956,0.824,b
0.93,0.483,-9.925,0.0411,0.0289,0.103,0.57,b
0.738,0.793,-5.763,0.0367,0.0095,0.0593,0.776,e
0.618,0.823,-4.76,0.0447,0.0132,0.288,0.58,d
0.59,0.799,-6.603,0.0349,0.181,0.211,0.326,b
0.743,0.78,-9.212,0.0722,0.0635,0.126,0.597,c
0.456,0.542,-8.552,0.0252,0.248,0.0971,0.229,f
0.404,0.903,-3.88,0.0668,0.577,0.287,0.498,a
0.263,0.663,-8.264,0.19,0.589,0.342,0.25,d
0.457,0.948,-3.364,0.0354,0.0191,0.0536,0.878,b
0.647,0.868,-6.427,0.105,0.0876,0.129,0.803,d
0.623,0.548,-6.647,0.0306,0.0378,0.115,0.319,b
0.698,0.434,-12.892,0.0272,0.166,0.0658,0.386,d
0.934,0.459,-7.654,0.189,0.0516,0.222,0.697,a
